,korean,pattern,gloss,here
155,호기심만은 숨기질 않았다. ,만은,"만 with 은 denoting contrast. Note also negative preemphasis in -지를 않았다. The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern.",…only his curiosity was not hidden.
156,네가 호랑이를 찍기만 한다면 ,-기만 하면,"no sooner does it/one do or be, than…; all one/it has to do or be is… (and then some result). Note that -다면 is more hypothetical than plain -(으)면.",…if only you take a picture of the tiger…
157,역사적인 인물이 되고 만다는 ,-고 말다,"to show final development of an action: ends up doing, finally does, gets around to doing, ultimately does.",…[to the effect that one] will end up becoming an historical figure…
158,나의 끊임없는 충돌질 ,-질,"the act of (doing), …ing (sometimes pejorative).",…my incessant pestering…
159,집안에까지도 여행 목적을 숨기고 ,에까지도,"up to, to plus particle 도 even (renders the delimiter 까지 even more emphatic).",[Mr. K and myself] hid out travel plans even from our very homes (families)…
160,지치지도 않고 ,-지도 않는다,doesn’t even… ,…[imagining the shock] we didn’t even get tired and pressed on noisily.
161,떠들어댔다. ,-어 댄다,"(does) terribly, awfully, a lot, like mad/anything (gives iterative and/or emphatic force to a preceding verb infinitive).",…[imagining the shock] we didn’t even get tired and pressed on noisily.
162,남녘인데도 ,-(으)ㄴ데도,"given the circumstance that it is, even though, though it is. This pattern can usually be taken as an abbreviation of -는데도 불구하고 in spite of the fact that.",In spite of the fact that it was southerly…
163,가을은 우리가 떠나온 곳보다 더욱 깊어 있었다.,-어 있다,"is in the state of resulting from, is done.",Autumn was much deeper than the place we had left.
164,떨어진 고엽에 뒤덮여 있었다. ,-어 있다,"is in the state of resulting from, is done Here on 뒤덮이- be / get covered.",…it was covered by the fallen leaves.
165,산의 윤곽이 더욱 날카로와진 반면 ,-(으)ㄴ 반면,whereas on the one hand…,"…whereas on the one hand, the mountain’s features were even more sharp…"
166,풍성하던 맛은 한결 가셔 있었다. ,-어 있다,"resultant state: is in the state of resulting from, is done.",…the taste of abundance was even more rinsed away.
167,먼저 만난 이는 하 씨였다. ,이,"quasi-free noun and postmodifier 이 a person, a man; one; a thing.",…the first person I met was Mr. Ha.
168,여전히 술에 취해 있었다. ,-어 있다,"resultant state: is in the state of resulting from, is done.","…as usual, he was in a state of drunkenness."
169,한참 동안이나 ,-(이)나,as much as… (implying that the speaker thinks the amount is a lot).,…for quite a while…
170,기억을 더듬어 주었을 때야 ,-(으)ㄹ때야,only when… (finally).,…only when he had searched his memory…
171,가맣게 잊고 있은 듯했다. ,-(으)ㄴ 듯하다,"is like, is as (if) is like, is as (if).",…it was as if he had completely forgotten.
172,K를 가리키며 ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.",…pointing at K…
173,사진을 찍으러 왔다는 얘길 했을 때도 , -(으)ㄹ 때도,even when; also when. ,…even when I said that he had come to take pictures of the tiger… 
174,곧이 들리지 않는다는 눈치를 보였다. ,-는 눈치(를) 보인다,gives (shows) indirect signs or hints that…,…he looked as if he had no idea what I was talking about.
175,대꾸부터 엉뚱했다. ,부터,(order) beginning with; first; starting from.,…even his answer was preposterous.
176,양 씨나 찾아달라고 ,-(이)나,"or the like, like, or something, or so; the likes of, any; at least, anyway, just (used in gently/vaguely urging way), even if it is not of particular interest.",…asking him to go look for Mr. Yang or something…
177,하 씨 말대로 ,NOUN 대로,"as, just as, just as it is (was); in accordance with NOUN.",….just like Mr. Ha had said…
178,파싹 늙어 있었던 것이다. ,-어 있다,"resultant state: is in the state of resulting from, is done. Note also -던 것이다 it was that case that…",…he was (in the state of being) emaciated.
179,여간 반가와하는 품이 아니었다. ,여간 + negative (or implied negative),"very; not a little, to no small extent, quite, extremely, terribly.",…he was very happy to see me.
180,그의 반가운 기색을 보는 순간 ,-는 순간,the moment/instant…,…the moment I saw his welcoming countenance…
181,하 씨를 대하고서 ,-고서,does and then; doing and then. ,…the anxiety I had felt towards Mr. Ha …
182,느꼈던 불안감쯤은 ,NOUN쯤은,"about (so much), approximately NOUN; NOUN (of a) caliber; so much of, of that extent.",…the anxiety I had felt towards Mr. Ha …
183,그 놈 발자국을 똑똑히 봤는걸요.,-는 걸(요),"used to end a sentence with the meaning 'indeed', or 'despite contrary anticipations/reservations'.","…I saw that thing’s footprints clearly, I tell ya."
184,나를 기다렸노라고 말했다. ,-노라(고) 말한다,makes a solemn proclamation/declaration that ….,…he said that he had been waiting for me.
185,호랑이 길도 살펴 두었으며 ,-(으)며,"Functions like -고 and. Note also -어 둔다 does something to get it out of the way (perhaps as a precaution); gets it done, finishes it up (so it will be out of the way), does it once and for good, does thoroughly/carefully now (so it will not have to be done again; does for later/future use or reference (similar to -어 놓는다).",…he had also scanned over the tiger trail…
186,그의 안색이 불안스러워 내가 물었다. ,-어(서),Naked infinitive. ,…I asked because his face looked so anxious.
187,K는 저 혼자 ,저 혼자,"for 자기 혼자. Korean has at least three levels of reflexive pronoun meaning one’s self: Low 저 Polite 자기 (자신, 자체) Honorific 당신.",(perhaps because) he alone… 
188,낙담을 했는지 ,-었는지,"perhaps because… When left hanging in mid-sentence, you can interpret the pattern as having left out a following (도) 모르지만: it may have been the case that or it is uncertain WH... [but...]. ",…perhaps because (he alone) was all disappointed…
189,염려 말아요. ,염려 말아요,deletion of [하지] after verbal noun: for 염려 [하지] 말아요.,…don’t worry.
190,이래도,이래도,From 이렇- + -어+ 도 ,even though it be like this…
191,호랑일,호랑일,For 호랑이를. ,…if we go after the tiger…
192,좇는다면,-는/(으)ㄴ 다면,more hypothetical than plain conditional -(으)면.,…if we go after the tiger…
193,날아다닐 수도 있을 정돕니다. ,-(으)ㄹ 정도이다,is to/at the point that… is to the extent that… ,…It will get to the point that I will even be able to fly.
194,이래뵈도 ,이래뵈도,From 이렇- + -어+ 보여도 ,even though it appears to be like this…
195,산중서 뼈골이 굳었는지라 ,-었는지라(서),"as/since it did (somewhat old-fashioned or folksy; equivalent to colloquial -드니, according to Roth).",…Since my bones have hardened…
196,추적을 감행키로 했다. ,키로,shortened from 하기로. ,…we decided to venture off in our pursuit.
197,양 씨는 술을 끊고 있다 했으므로 ,-(으)므 로(서),"Although the Korean spelling somewhat obscures the origin, this is a substantive in -(으)ㅁ + instrumental 로(서), and means with (as, etc.) the doing or being; since (because of) the doing or being. Note also -고 있다 meaning is/continues in a (changed) state. Cf. -어 있다. 병원 에 입원 하고 있다 is in the hospital. 가고 없다 is gone.",…because Mr. Yang said that (Mr. Ha) was getting off the wagon… 
198,저 양반 잠자다가도 ,-다가도,"even while, even in the middle of …-ing with -다가 indicating a change or shift of action or state plus particle 도.","That gentleman, even when he sleeps,…"
199,호랑이 생각만 나면,NOUN만 -(으)면,"no sooner does it/one do or be, than…; as soon as… then…",…as soon as he thinks of tigers…
200,처음 선생님이 가시고 난 뒤에는,-고 난 뒤(에/로),after …ing; ever since …ing.,…after the first time you left…
201,일체 호랑이 얘길 않더니 ,-더니,as now it has been observed that...; when (now/then); since (now/then)...; ...and now/then; ...but now/then. Usually implies a marked or abrupt contrast between the first and second clauses: whereupon. Note also deletion of [하지] after verbal noun: 얘길 않- for 얘길 [하지] 않-.,"…not saying a word about tigers, now…"
202,병이 들면서 ,–(으)면서,abbreviation of -(으)면서부터 ever since...-ing; starting from the time when...,…ever since he got sick…
203,갑작스레 호랑이를 찾대요. ,-스레,"abbreviated from of adverb -스러이 in a way that is like…, in a way typical of …. from -스럽다.",…all of a sudden he says that he is looking for tigers.
204,양 씨 어른이야 ,NOUN이야/야,"only if it be; if (it be), when it comes to; even, indeed. (Marks a reinforced contingency or prerequisite for a main clause, one or the other of which is unlikely, unexpected, or anticipated to be difficult or unpleasant). Can be treated as a shortened form of NOUN이야말로.","…Mr. Yang, indeed…"
205,애초부터 농사꾼이였지,-지,"Followed by an emphatic, pregnant pause; it is most emphatically the case that… [and not something else].",…from the very outset he was a farmer (and not something else)…
206,언제부터 짐승 좇는 포수고 몰이꾼이었나요. ,-고,abbreviated from –이고 after a vowel.,…since when did he become a beast-chasing chaser and hunter? (i.e. he was never one.)
207,하도 호랑이 호랑이 해대니까 ,어 댄다,"(does) terribly, awfully, a lot, like mad/anything (gives iterative and/or emphatic force to a preceding verb infinitive).",…because he goes on and on about tigers…
208,추수한 거 다 챙겨 ,-어(서),Naked infinitive.,"…gathered the autumn harvest, and…"
209,마누라 잃은 뒤엔,-(으)ㄴ 뒤(에/로),after …ing; ever since …ing.,…after he lost his wife…
210,손님네,네,"the group, all of… Makes an explicit plural for nouns referring to people; it is also used in combination with the synonyms 들 and 끼리: 우리, 우리네, 우리들, 우리네들, 우리들네 we/us.",…guests…
211,거푸 술잔을 비우며,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.",…repeatedly empting his glass…
212,양 씨가 왜 그리 나를 반기던가를 생각했다. ,WH- …-던가 생각한다,as object: wonders why it was the case that…,….I wondered why Mr. Yang was so happy to see me.
213,나이짝 맞잖게 ,맞잖게,"from 맞지 않게, with adverbial -게: (in a way) so that, so that it is or does; so that one can; in a manner such that; -ly.",…in a way unbefitting one’s age…
214,제 아내를 잃은 듯 섭섭해 했다. ,-어 한다,"Used with descriptive verbs that refer to human feelings (liking, fearing, reacting to,...) when the experiencer is a third person. Note also 제, the low version of Plain 자기.",…he looked as sad as though it was his own wife he had lost.
215,도망간 부인네는 ,네,"the group, all of… Makes an explicit plural for nouns referring to people; it is also used in combination with the synonyms 들 and 끼리: 우리, 우리네, 우리들, 우리네들, 우리들네 we/us.",…the runaway wife…
216,열정이 맥없이 스러지고 있음을 느꼈다. ,-(으)ㅁ(을) 느낀다,feels sth …ing with substantive -(으)ㅁ the act (or fact) of having/being.,…I felt my dedication collapsing.
217,모두 나 때문인 듯이 여겨졌던 것이다. ,-(ㅇ)ㄴ 듯(이) 여긴다,"feels as if, reckons it is as if …. Note also -어 진다: besides meaning gets to be or becomes with adjectives, can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…it felt as though it were somehow all my fault.
218,양씨의 탈진함에 따라 ,NOUN(에) 따라(서),"in accordance with NOUN, in conformity to (with) NOUN, according to NOUN. Here on a substantive in -(으)ㅁ: the act (or fact) of having/being.",…in accordance with Mr. Yang’s exhaustion…
219,산중의 호랑이조차 ,NOUN조차(도),"even NOUN, NOUN too, NOUN to boot, NOUN in addition, NOUN into the bargain.",…even the tiger in the heart of the mountain…
220,나무 의자를 당겨 앉으며 ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.",…pulling up a wooden chair…
221,선생님들 약속 믿는 거라구요. ,거라구요,colloquial reduction of 것이라고요.,"…he believes that you will keep your promise, I tell you."
222,목돈이라도,-(이)라도,"(1) even if (it be); (2) just, (or the ) like ( = 이나); or even; any, some.",…even a good sum of money…
223,지키고 말구요. ,-고 말고(요),"of course, certainly, sure.",…of course we will keep the promise.
224,나와 K는 뒤처져 ,-어(서),Naked infinitive.,"…K and I, lagging behind…"
225,숲과 안개로 인해 ,NOUN(으)로 인하여(서),on account of NOUN.,…on account of the forest and fog…
226,시계는 2-30미터도 트이질 않았다. ,-지를 않는다,"The addition of 를 to –지 in the long negation pattern is thought to add emphasis, insistence or a hint of frustration.",….our field of vision was blocked even for 20-30 meters ahead.
227,입을 여는 이는 아무도 없었다.,이,"a person, a man; one; a thing.",lit. …no one opened their mouth (no one spoke a word).
228,어디엔가에,어디엔가에,From 어디에 + -인가에.,…somewhere [or other]…
229,낙엽을 헤치며 앞서 걸어 나갔다. ,-(으)며 ,"short for -(으)면서 while, at the same time, (doing) simultaneously","…clearing away the dead leaves, he took the lead."
230,열흘 전쯤에도 ,쯤에도,about approximately; to/at/in…also/even/either.,…even about ten days ago…
231,노목 등걸을 타고 앉아 ,-어(서),Naked infinitive.,…sitting on a bare tree stump…
232,산삼을 찾아 나선 듯이 ,-(으)ㄴ 듯(이),"like, as, giving the appearance of...; appearing (to be), looking (like); seeming as if; as if/though..",…as if you were setting off to look for mountain ginsaeng.
233,부인을 않고 ,않고,Deletion of [하지] after verbal noun: for 부인[하지] 않고.,"…I did not take my words back, and…"
234,한나절을 헤맸는데도 ,-었는데도,"given the circumstance that it is/does, even though, though. This pattern can usually be taken as an abbreviation of -는데도 불구하고 in spite of the fact that.",despite having wandered for the better part of the day…
235,멧돼지 발자국조차 찾질 못했다. ,-지를 못한다,": The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation patterns.",…we didn’t even find a footprint of a wild boar.
236,안개는 씻은 듯 벗겨졌다. ,-(으)ㄴ 듯(이),"like, as, giving the appearance of ...; appearing (to be), looking (like); seeming as if; as if/though.. Note also -어 지-. Also -어 진다: besides meaning gets to be or becomes with adjectives, can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…the fog peeled off as if it had been rinsed away.
237,온종일을 헤맸는데도 ,-었는데도,"given the circumstance that it is/does, even though, though. This pattern can usually be taken as an abbreviation of -는데도 불구하고 in spite of the fact that.",…even though we had wandered the whole day…
238,노루 두 마리만 카메라에 담았을 뿐이었다. ,-(으)ㄹ 뿐(이다),"nothing but, only, constantly; all it/one does/is (or did / was) is…",…all he caught in his camera were two roe deer.
239,나는 결코 실망하지 않았다. ,결코 + Negative,"not VERB at all, not VERB in the least.",…I was not disappointed in the least.
240,양 씨의 열띤 눈빛을 통해,NOUN을 통해(서),through/by way of NOUN.,…through Mr. Yang’s fervent glance…
241,호랑이의 존재는 어김없이 느껴졌던 것이다. ,-어 진다,"Besides meaning gets to be or becomes with adjectives, can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…I came to feel the tiger’s existence as infallibly real.
242,노래를 흥얼대다가 ,-대다,"Makes iterative mimetics. More insistent and prolonged than mimetic + -거리다: does repeatedly/continuously; does and does; keeps doing, does on and on, does (keeps doing) it away; does again and again, does over and over again.","…he was humming a tune, when…"
243,바위에 기댄 채 ,-(으)ㄴ 채,"just as it is or did, (in) the original state of…",…leaning on a boulder…
244,눈도 깜짝 않고 ,깜짝 않고,Deletion of [하지] after verbal noun: 깜짝 [하지] 않고.,…not even blinking…
245,"""잠시라도 눈을 붙이시지요?"" ",-(이)라도,"(1) even if (it be); (2) just, (or the) like ( = 이나); or even; any, some.",…why don’t you close your eyes just for a moment?
246,엷은 미소를 띤 채,-(으)ㄴ 채,"just as it is or did, (in) the original state of…","…smiling a thin smile, he…"
247,여태껏 그가 아내 생각을 하고 있었음을 알았다. ,-(으)ㅁ(을) 알다,to know that… to realize that… on substantive -(으)ㅁ the act (or fact) of having/being.,I knew that all this time he had been thinking about his wife.
248,"""이쁘다기보다...."" ",-다기보다,"it’s not so much that A, but rather… (abbreviated from –다[고 하]기보다). Cf. also -ㄴ다기보다, -는다기보다, -(이)라기보다.","…I wouldn’t say that she was pretty, but rather…"
249,이런 산골에 처박혀있기엔 아무래도 과했던 그년이 ,-었기에,for/in/by/from having done.,"…that girl, for whom it was too much to be stuck here in this kind of mountain village…"
250,결국 뭐 보고였겠어요. ,뭐 보고,have seen what? = for what reason?,lit. on account of her having seen what?
251,기력을 못 찾아,-어(서),Naked infinitive.,"…she couldn’t find a source of strength, and so…"
252,도망질한 것도 당연하죠. ,-질,"the act of (doing), …ing [sometimes pejorative].",…her taking-off was to be expected.
253,누구도 감당할 수가 없는 건가 봐요. ,누구도,"= 아무도 no one, nobody; not one.",…it seems like it is something that not everyone can cope with.
254,예전 같았으면 ,NOUN 같았으면,if it were/be/had been…,…lit. if things were like they used to be…
255,반도 걷질 못했습니다. ,-지를 못한다,"The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern in -지 못한다.",…we haven’t even gone half-way.
256,소리내어 웃었다. ,-어(서),Naked infinitive.,…he laughed out loud.
257,떨리는 듯한 음성 ,-는 듯하다,seems to be …ing; as (if) …ing; does as (if).,…in a quivering voice…
258,바위산 쪽으로 이어져 있었다. ,-어 있다,"resultant state: is in the state of resulting from, is done. Note also –어진다 on 잇다, 이어요 continue.",…it continued in the direction of the mountain.
259,심장이 싸늘해지는 듯한 긴장감 ,-는 듯하다,seems to be …ing; as (if) …ing; does as (if).,…a heart-chilling kind of tension…
260,아무것도 보이질 않았다. ,-지를 않는다,"The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern in -지 않는다.",…nothing was to be seen
261,여길 지났어요. ,여길,For 여기를.,he’s passed by here.
262,허리춤을 추슬려 올리며 말했다. ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously. Note also naked infinitive from -어(서).",he spoke while lifting and setting his trousers.
263,양 씨가 이끄는 대로 ,-는 대로,"as, just as, just as it is (was); in accordance with.","…just as Mr. Yang showed us,…"
264,뛰다시피 해 ,-다 시피,"Usually treated by Korean grammarians as an unanalyzed ending -다사피. In a way that tends to do, in a way inclined toward doing, in a way such that it is possible/likely; in a way that is virtually in accordance with, practically, virtually, as much as to do, almost, as if to, “like-to”. Note also naked infinitive in -어(서).",practically running…
265,걸음이 그렇게 빠를 수가 없었다. ,그렇게 ... -(으)ㄹ 수가 없다,"similar in effect to the pattern 여간 + NEGATIVE (or implied negative): very; not a little, to no small extent, quite, extremely, terribly.",[Mr. Yang’s] pace was extremely fast.
266,전신을 가시와 나뭇가지에 할키우며 ,에,"To mark the (inanimate) agent of a passive. That is, 에 marks the ‘by’-phrase in a passive construction. Note also dialect/substandard passive 할키우- related to standard 할퀴-.","…our entire bodies getting clawed at by the thorns and branches,…"
267,엎어지고 자빠지고 여러 차례였다. ,엎어지고 자빠지고,[엎어지고 자빠지고] as subject (unmarked).,We tumbled over forwards and backwards many a time.
268,나는 아픈 줄을 몰랐다. ,-(으)ㄴ 줄(을) 몰랐다,did not know/was not aware that....,…I was unaware of the fact that I was hurt.
269,녹초가 된 연후였지만 ,-(으)ㄴ 연후(에),"after, past, beyond.","…we were way past the point of exhaustion, but…"
270,잠을 잘 생각을 않았다. ,생각을 않았다,deletion of [하지] after verbal noun: for 생각을 [하지] 않았다.,…we had no thoughts of sleep.
271,당장에라도 ,-(이)라도,"(1) even if (it be); (2) just, (or the ) like ( = 이나 ); or even; any, some, here on locative 에.",…any minute…
272,능선 마루에 앉아 사방을 살폈다. ,-어(서),Naked infinitive.,…we sat at the clearing on the ridge and looked around
273,시방에라도 보일 듯했다. ,-(이)라도,"(1) even if (it be); (2) just, (or the ) like ( = 이나); or even; any, some, here on locative 에.",…as if [the tiger] would appear any second.
274,오징어를 씹으며 말했다. ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.","…he said, chewing on dried squid."
275,관목 숲에서 눈을 떼지 않은 채 물었다. ,-(으)ㄴ 채,"just as it is or did, (in) the original state of…","…he asked, without taking his eyes off the shrubbery."
276,두 팔을 베개 삼아 ,NOUN(을) 삼아(서),"by way of NOUN, for NOUN, for the sake of NOUN, as a NOUN (from 삼다 make something of (a person or a thing).",…using his two arms as a pillow…
277,호랑이는 우리들 곁으로 다가오리라 믿었다. ,-(으)리라[고],"will probably be/do, usually quoting an internal thought.",…I believed that the tiger would come over to us.
278,날래고 영험스런 산짐승 ,-스런,"abbreviated from -스러운 from -스럽다 like, as.","…swift, magical mountain beast…"
279,우리들 앞으로 달려갈 것이라 믿었다. ,것이라,For 것이라[고].,…I believed that it would come running in front of us.
280,내 간절한 믿음이기도 했다. ,-기도 하다,"also is, is also.",…it was also an earnest belief.
281,때가 자났는데도 ,-었는데도,"given the circumstance that it is/does, even though, though. This pattern can usually be taken as an abbreviation of -는데도 불구하고 in spite of the fact that.",…even though it was way past the time…
282,결코 호랑이는 나타나질 않았다. ,결코 + Negative,"not VERB at all, not VERB in the least. Note also negative preemphasis in -지를 않-. The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern.",…there was not a tiger in sight.
283,여유로운 양씨의 말이었다. ,NOUN-롭다,(characterized) by NOUN (for nouns ending in a vowel). Parallels –답다 (for nouns ending in a consonant).,…those were Mr. Yang’s relaxed words.
284,설득시킬 만한 언어 ,NOUN -(으)ㄹ 만하다,"is sufficient (to do), is well worth (doing); is at the point (of doing), has reached the stage (when it can do).",…convincing words…
285,갖고 있질 못했다. ,-지를 못한다,"The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern in -지 못한다.",…I did not have…
286,확실하게 알고 있질 못했던 것이다. ,-지를 못한다,"The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern in -지 못한다.",…I did not know exactly …
287,거의 장난치듯 ,-듯(이),"like, as, giving the appearance of…; appearing (to be), looking (like); seeming as if; as if/though.",…almost jokingly…
288,혼자 신명 겨워했다. ,-어 한다 ,"Used with descriptive verbs that refer to human feelings (liking, fearing, reacting to…) when the experiencer is a third person. Here on NOUN(에) + 겹다 be too much for one; be extreme, excessive.",…entertaining himself.
289,나는 이대로가 좋았다. ,이대로,adverbial 이대로 as subject.,…I was happy the way I was.
290,산들 사이에 앉아 ,-어(서),Naked infinitive.,…sitting among the mountains…
291,투명한 가을빛을 받으며 ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.",…taking in the translucent autumn light…
292,능선과 숲을 지키며 ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.",…watching over ridge and forest…
293,비밀스런 존재자 ,-스런,"abbreviated from -스러운 from -스럽다 be like, as.",…a secretive being…
294,완전하게 비켜나 있는 심정이었다. ,-어 있다,"resultant state: is in the state of resulting from, is done.",…It was a state of mind completely removed from this world.
295,벼랑을 보며 ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously.",…gazing at the cliff…
296,나와 같은 심정인 듯했다.,-(으)ㄴ 듯하다,"is like, is as (if) is like, is as (if).",…they were in the same state of mind as myself.
297,놀이 나온 아이들마냥 ,마냥, =처럼 like,…like children that have come out to play…
298,양씨의 얼굴엔 남아 있질 않았다. ,-지를 않는다,"The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern in -지 않는다.",…there was not a trace left on Mr. Yang’s countenance.
299,신선이나 다를 바 없었다. ,NOUN(이)나 다를 바 없다,"be no different from NOUN, be just like NOUN.",…[Mr. Ha] seemed no different from a mountain wizard.
300,춤까지 춰댔다. ,까지,"even, so far as (extent, emphasis). Note also -어 댄다 (does) terribly, awfully, a lot, like mad/anything (gives iterative and/or emphatic force to a preceding verb infinitive).",…went so far as to dance up a storm.
301,온 마을 사람들로부터,-(으)로부터,from. ,(he was pointed at) by the entire village
302,주정뱅이라고 손가락질 받고 ,-질,"the act of (doing), …ing (sometimes pejorative).",…he was pointed at and called a drunk (by the entire village)
303,그렇게 근사해 보일 수가 없었다. ,그렇게 ... -(으)ㄹ 수가 없다,"similar in effect to the pattern 여간 + NEGATIVE (or implied negative) meaning very; not a little, to no small extent, quite, extremely, terribly.",…looked so wonderful.
304,점심을 먹고 나서 ,-고 나서,after ...ing.,…after eating lunch…
305,없어졌으면 좋겠다는 마음뿐이었던 것이다. ,뿐(이다),"nothing but, only.",…I only felt like I wished he would disappear.
306,오래오래 이 산중에 남아 ,-어(서),Naked infinitive. ,…to stay over a long time in the mountain…
307,K가 간대도 ,간대도,abbreviated from 간ㄷ[ㅏ고 ㅎ]ㅐ도 .,…even though K said he was leaving…
308,호랑이를 잊고 있었던 만큼 ,-었던 만큼,"in as much as, in so far as, since (had done/been).",…to the extent that we forgot about the tiger…
309,거북설스럽게까지 느껴졌던 것이다. ,-게 까지,"in a way that went so far as being … with 까지even, so far as (extent, emphasis). Note also -어 진다: besides meaning gets to be or becomes with adjectives, can have the effect of a ""get-passive"" in English or of middles or reflexives in languages which have these. The implication is that the subject/agent is either (sometimes adversely) affected by the action, and/or has no control over the action of the verb.",…it went so far as to feel awkward.
310,미안감조차 일지를 않았다. ,조차(도),"even, too, to boot, in addition, into the bargain. Note also negative preemphasis in -지를 않는다. The addition of 를 to -지 is thought to add emphasis, insistence or a hint of frustration to the long negation pattern.",…I didn’t even feel apologetic.
311,서로를 간지럼 태우며 ,-(으)며,"short for -(으)면서 while, at the same time, (doing) simultaneously. Note also 간지럼: abbreviated substantive from 간지러움 ← 간지럽다.",…making each other laugh…
312,찔끔대며 웃어댔다. ,-어 댄다,"does repeatedly/continuously; does and does; keeps doing, does on and on, does (keeps doing)it away; does again and again, does over and over again.",…laughed with tears in our eyes.
313,맘에 안 드는 녀석 하나를 골탕 먹이고 난 뒤와 같이 ,-고 난뒤(에),after doing; ever since …ing.,…as if we had just gotten rid of a guy we didn’t like…
314,온 산이 불덩이 속에 든 듯 ,-(으)ㄴ 듯(이),"like, as, giving the appearance of...; appearing (to be), looking (like); seeming as if; as if/though.",…as if the whole mountain were placed inside a fireball…
315,우리편으로 다가든 느낌이었다. ,-(으)ㄴ 느낌 이다,is a feeling of… gives the feeling of… feels like…,…it felt like [the tiger] would come over.
316,쌍안경조차 필요하지 않았다. ,조차(도),"even, too, to boot, in addition, into the bargain.",…we didn’t even need binoculars.
317,반점이 그렇게 선명할 수 없었다. ,그렇게 ... -(으)ㄹ 수가 없다,"similar in effect to the pattern 여간 + NEGATIVE (or implied negative) meaning very; not a little, to no small extent, quite, extremely, terribly.",…his spots were extremely clear.
318,양 씨가 내 손을 꼭 잡은 채 속삭였다. ,-(으)ㄴ 채,"just as it is or did, (in) the original state of…","…grasping my hand tightly, Mr. Yang whispered."
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
